smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6a,MIC,'=',128,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6b,MIC,'=',128,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6c,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6d,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6e,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6f,MIC,'=',256,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
CC1Cc2ccccc2N1C(=O)Cn1cc(Cn2c(-c3ccccn3)nc3ccccc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35a,MIC,'=',"0,056",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2cnc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35b,MIC,'=',"0,062",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1cc2ncn(Cc3cn(CC(=O)N4CCc5ccc([N+](=O)[O-])cc54)nn3)c2cc1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35c,MIC,'=',"0,058",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1nc2ccccc2n1Cc1cn(CC(=O)N2CCc3ccc([N+](=O)[O-])cc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35d,MIC,'=',"0,03",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
CSc1nc2ccccc2n1Cc1cn(CC(=O)N2CCc3ccc([N+](=O)[O-])cc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35e,MIC,'=',"0,056",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2c(-c3ccccc3)nc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35f,MIC,'=',"0,052",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2c(-c3ccccn3)nc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35g,MIC,'=',"0,026",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
CSc1nnc(Cn2c(CSc3ccccc3)nc3ccccc32)n1-c1ccccc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,107a,MIC,'=',62,µg mL-1,E. coli,nan,24,table 9,nan,nan,24,table 9,nan,nan,25,scheme 27,25.0,scheme 27,antibiotics12071220
CCSc1nnc(Cn2c(CSc3ccccc3)nc3ccccc32)n1-c1ccccc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,107b,MIC,'=',72,µg mL-1,E. coli,nan,24,table 9,nan,nan,24,table 9,nan,nan,25,scheme 27,25.0,scheme 27,antibiotics12071220
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6a,MIC,'=',64,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6b,MIC,'=',128,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6c,MIC,'=',128,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6d,MIC,'=',128,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6e,MIC,'=',128,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6f,MIC,'=',512,µg mL-1,S.a.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
CC(=NNC(=O)Cn1cc(CSc2nc3ccccc3[nH]2)nn1)c1ccc(Br)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,3b,MIC,'=',18,µmol mL-1,S. aureus,Staphylococcus aureus,4,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.1. 2-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",4,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.1. 2-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",5,scheme 1,5.0,scheme 1,antibiotics12071220
CC1Cc2ccccc2N1C(=O)Cn1cc(Cn2c(-c3ccccn3)nc3ccccc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35a,MIC,'=',"0,028",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2cnc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35b,MIC,'=',"0,031",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1cc2ncn(Cc3cn(CC(=O)N4CCc5ccc([N+](=O)[O-])cc54)nn3)c2cc1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35c,MIC,'=',"0,029",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1nc2ccccc2n1Cc1cn(CC(=O)N2CCc3ccc([N+](=O)[O-])cc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35d,MIC,'=',"0,06",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
CSc1nc2ccccc2n1Cc1cn(CC(=O)N2CCc3ccc([N+](=O)[O-])cc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35e,MIC,'=',"0,029",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2c(-c3ccccc3)nc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35f,MIC,'=',"0,026",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2c(-c3ccccn3)nc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35g,MIC,'=',"0,031",µmol mL-1,S. aureus,Staphylococcus aureus,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
CN(C)c1ccc(/C=N/NC(=O)Cn2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,2k,MIC,'=',"12,5",µmol mL-1,S. aureus,nan,4,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.1. 2-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",4,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.1. 2-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",5,scheme 1,5.0,scheme 1,antibiotics12071220
CCOC(=O)Cn1cc(Cn2c(=O)n(Cc3ccccc3)c3ccccc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,37b,MIC,'=',"3,125",µgmL-1,S. aureus,nan,10,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.2. 1-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",10,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.2. 1-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",10,scheme 9,10.0,scheme 9,antibiotics12071220
O=c1n(Cc2ccccc2)c2ccccc2n1Cc1cn(-c2ccccc2)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,37d,MIC,'=',"3,125",µgmL-1,S. aureus,nan,10,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.2. 1-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",10,text,"2. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,3-Triazoles","2.2. 1-Benzimidazole-R(Ar)-1,4-Disubstituted-1,2,3-Triazole Hybrids",10,scheme 9,10.0,scheme 9,antibiotics12071220
O=C1c2cccc3c(Sc4nc5ccccc5n4Cc4ccc(Cl)cc4Cl)ccc(c23)C(=O)N1CCCCn1c[n+](Cc2ccccc2Cl)cn1.[Cl-],10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,68g,MIC,'=',2,µg mL-1,S. aureus,nan,16,text,"3. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,4-Triazoles","3.1 2-Benzimidazole-R(Ar)-1-(1,2,4-Triazole)",16,text,"3. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,4-Triazoles","3.1 2-Benzimidazole-R(Ar)-1-(1,2,4-Triazole)",16,scheme 18,16.0,scheme 18,antibiotics12071220
CCCCCCC[n+]1cnn(CCCCN2C(=O)c3cccc4c(Sc5nc6ccccc6n5Cc5ccc(Cl)cc5Cl)ccc(c34)C2=O)c1.[Cl-],10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,69b,MIC,'=',2,µg mL-1,S. aureus,nan,16,text,"3. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,4-Triazoles","3.1 2-Benzimidazole-R(Ar)-1-(1,2,4-Triazole)",16,text,"3. Synthesis and Antimicrobial Activities of Benzimidazole-1,2,4-Triazoles","3.1 2-Benzimidazole-R(Ar)-1-(1,2,4-Triazole)",16,scheme 18,16.0,scheme 18,antibiotics12071220
Cc1nc2ccccc2n1-c1nnc(S)n1-c1ccc(O)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,88b,MIC,'=',8,µg mL-1,S. aureus,nan,21,table 6,nan,nan,21,table 6,nan,nan,21,scheme 22,21.0,scheme 22,antibiotics12071220
COc1ccc(-n2c(S)nnc2-n2c(C)nc3ccccc32)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,88c,MIC,'=',8,µg mL-1,S. aureus,nan,21,table 6,nan,nan,21,table 6,nan,nan,21,scheme 22,21.0,scheme 22,antibiotics12071220
Oc1nnc(-n2c(SCc3ccccc3)nc3ccccc32)[nH]1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,95,MIC,'=',18,800 µg mL-1,S. aureus,nan,23,table 8,nan,nan,23,table 8,nan,nan,22,scheme 24,nan,nan,antibiotics12071220
Oc1nnc(-n2c(SCc3ccccc3)nc3ccccc32)n1-c1ccccc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,96,MIC,'=',19,800 µg mL-1,S. aureus,nan,23,table 8,nan,nan,23,table 8,nan,nan,22,scheme 24,nan,nan,antibiotics12071220
Nn1c(O)nnc1-n1c(SCc2ccccc2)nc2ccccc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,97,MIC,'=',17,800 µg mL-1,S. aureus,nan,23,table 8,nan,nan,23,table 8,nan,nan,22,scheme 24,nan,nan,antibiotics12071220
CSc1nnc(Cn2c(CSc3ccccc3)nc3ccccc32)n1-c1ccccc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,107a,MIC,'=',105,µg mL-1,S. aureus,nan,24,table 9,nan,nan,24,table 9,nan,nan,25,scheme 27,25.0,scheme 27,antibiotics12071220
